Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1970-0035-BGD,1970,0035,Natural,Hydrological,Flood,,,,Affect,Bangladesh,BGD,Southern Asia,Asia,,,,,Yes,,,,,Km2,,,,,1970,7,,1970,7,,,,10000000,,10000000,,,25000,15.18633546
1972-0002-AFG,1972,0002,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,West,,,,,,,,,Km2,,,,,1972,1,,1972,1,,150,,250000,,250000,,,,16.35652475
1972-0041-BGD,1972,0041,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Sylhet,,,,,,,,,Km2,,,,,1972,6,25,1972,6,25,50,,,,,,,,16.35652475
1973-0123-BGD,1973,0123,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1973,3,,1973,3,,427,,,,,,,,17.36698602
1973-0130-BGD,1973,0130,Natural,Hydrological,Flood,,,,Regional,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1973,8,,1973,8,,,,,,,,,,17.36698602
1974-0034-BGD,1974,0034,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1974,7,,1974,7,,28700,,36000000,2000000,38000000,,,579200,19.28687447
1976-0031-AFG,1976,0031,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Herat, Farah, Kandahar",,,,Yes,,,,,Km2,,,,,1976,4,,1976,4,,51,,80000,,80000,,,,22.25960139
1976-0041-BGD,1976,0041,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Easr,,,,,,,,,Km2,,,,,1976,6,15,1976,6,15,168,,4000000,,4000000,,,,22.25960139
1977-0110-BGD,1977,0110,Natural,Hydrological,Flood,,,,Affect,Bangladesh,BGD,Southern Asia,Asia,Brahmaputra Valley,,,,,,,,,Km2,,,,,1977,9,,1977,9,,5,,200000,,200000,,,,23.706851
1977-0125-BGD,1977,0125,Natural,Hydrological,Flood,,,,Affect,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1977,10,13,1977,10,13,8,,13650,,13650,,,,23.706851
1977-0094-IND,1977,0094,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,Ganges region,,,,,,,,,Km2,,,,,1977,8,,1977,8,,500,,1000000,,1000000,,,,23.706851
1978-0083-AFG,1978,0083,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Central and Eastern regions, Pakistan border",,,,Yes,,,,,Km2,,,,,1978,7,,1978,7,,120,140,264044,7500,271684,,,52000,25.51591532
1978-0097-BGD,1978,0097,Natural,Hydrological,Flood,Riverine flood,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Western,,,,,,,,,Km2,,,,,1978,8,,1978,8,,17,,400000,,400000,,,,25.51591532
1970-0034-IND,1970,0034,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"North-East, Western, North",,,,Yes,,,,,Km2,,,,,1970,7,,1970,7,,627,1000,10000000,350000,10351000,,,101200,15.18633546
1970-0105-IND,1970,0105,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"Gujarat, Orissa states",,,,,,,,,Km2,,,,,1970,9,2,1970,9,2,400,,,,,,,,15.18633546
1970-0040-NPL,1970,0040,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,South,,,,Yes,,,,,Km2,,,,,1970,8,15,1970,8,15,350,,20000,,20000,,,,15.18633546
1971-0037-IND,1971,0037,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,North,,,,,,,,,Km2,,,,,1971,6,,1971,6,,1023,,,,,,,530000,15.83825463
1971-0052-IND,1971,0052,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Uttar Pradesh,,,,,,,,,Km2,,,,,1971,9,9,1971,9,9,300,,35000,,35000,,,,15.83825463
1971-0116-IND,1971,0116,Natural,Hydrological,Flood,,,,Affect,India,IND,Southern Asia,Asia,"Brahmaputra, Dhemaji, North Lakhimpur, Jorhat, Tezpur sub-divisions",,,,,,,,2600,Km2,,,,,1971,6,,1971,6,,,,130000,,130000,,,,15.83825463
1973-0033-PAK,1973,0033,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Punjab, Sind",,,,Yes,,,,,Km2,,,,,1973,8,,1973,8,,474,,4800000,,4800000,,,661500,17.36698602
1974-0128-IND,1974,0128,Natural,Hydrological,Flood,,,,Govern,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1974,6,,1974,6,,,,,,,,,,19.28687447
1974-0129-IND,1974,0129,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"Tinsukia, Dhemaji, Nowgong, Majuli, Jorhat, Dhubri",,,,,,,,,Km2,,,,,1974,7,2,1974,7,2,260,,,,,,,,19.28687447
1975-0037-IND,1975,0037,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"Northwest, Bihar",,,,Yes,,,,,Km2,,,,,1975,7,,1975,7,,350,,27000000,7000000,34000000,,,714259,21.05030752
1976-0052-PAK,1976,0052,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Punjab, Sind, North West Frontier",,,,,,,,,Km2,,,,,1976,8,2,1976,8,2,338,,5566000,,5566000,,,505000,22.25960139
1977-0121-IND,1977,0121,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Tamil Nadu,,,,,,,,,Km2,,,,,1977,10,,1977,10,,60,,45000,,45000,,,,23.706851
1977-0072-PAK,1977,0072,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,Karachi,,,,Yes,No,No,,,Km2,,,,,1977,6,,1977,6,,848,,777000,245000,1022000,,,,23.706851
1978-0085-NPL,1978,0085,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,Terai area,,Broken Dam/Burst bank,,Yes,,,,,Km2,,,,,1978,7,,1978,7,,130,48,27000,700,27748,,,513,25.51591532
1978-0087-IND,1978,0087,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"North, Northeast",,,,Yes,,,,,Km2,,,,,1978,7,,1978,7,,3800,,32000000,,32000000,,,165000,25.51591532
1978-0111-IND,1978,0111,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,West Bengal,,,,,,,,,Km2,,,,,1978,9,,1978,9,,810,,,,,,,1000,25.51591532
1978-0067-LKA,1978,0067,Natural,Hydrological,Flood,,,,Kill,Sri Lanka,LKA,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1978,5,,1978,5,,10,,1000,,1000,,,,25.51591532
1978-0086-PAK,1978,0086,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,,,,,Yes,,,,,Km2,,,,,1978,7,,1978,7,,393,,2236000,10000,2246000,,,,25.51591532
1980-0033-AFG,1980,0033,Natural,Hydrological,Flood,,,,Affect,Afghanistan,AFG,Southern Asia,Asia,Southern provinces,,,,,,,,,Km2,,,,,1980,3,,1980,3,,,,30000,,30000,,,,32.23389323
1980-0073-BGD,1980,0073,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,North Western,,,,,,,,,Km2,,,,,1980,8,,1980,8,,655,,10000000,,10000000,,,150000,32.23389323
1982-0100-BGD,1982,0100,Natural,Hydrological,Flood,,,,Affect,Bangladesh,BGD,Southern Asia,Asia,"Rajshahi, Kushtia",,,,,,,,,Km2,,,,,1982,9,7,1982,9,7,,,283000,25000,308000,,,,37.74582208
1983-0062-BGD,1983,0062,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Central, Eastern",,,,,,,,,Km2,,,,,1983,4,,1983,4,,78,,60000,,60000,,,,38.9583793
1983-0091-BGD,1983,0091,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1983,7,,1983,7,,12,,4000000,100000,4100000,,,,38.9583793
1983-0115-BGD,1983,0115,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1983,9,,1983,9,,114,,3000000,,3000000,,,,38.9583793
1983-0505-BGD,1983,0505,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1983,8,,1983,8,,41,,,,,,,,38.9583793
1984-0041-BGD,1984,0041,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Eastern,,,,,,,,,Km2,,,,,1984,5,,1984,5,,1200,,30000000,,30000000,,,,40.63380386
1985-0012-BGD,1985,0012,Natural,Hydrological,Flood,Riverine flood,,,Affect,Bangladesh,BGD,Southern Asia,Asia,"Maulvibazar, Sylhet district",,,,,,,,8910,Km2,,,,,1985,6,,1985,6,,7,,100000,,100000,,,,42.07452677
1985-0299-BGD,1985,0299,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Rangpur, Kurigram a Nil district",,,,,,,,404,Km2,,,,,1985,7,5,1985,7,5,27,,400000,,400000,,,,42.07452677
1986-0096-BGD,1986,0096,Natural,Hydrological,Flood,Riverine flood,,,Affect,Bangladesh,BGD,Southern Asia,Asia,Rajshahi district,,,,,,,,196,Km2,,,,,1986,8,2,1986,8,2,4,,100000,,100000,,,,42.87312983
1986-0232-BGD,1986,0232,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Chapai,,,,,,,,,Km2,,,,,1986,8,7,1986,8,7,26,,,300000,300000,,,,42.87312983
1987-0132-BGD,1987,0132,Natural,Hydrological,Flood,Riverine flood,,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Rangpur, Netrokona, Gaibandha, Noagaon, Kurigram, Jamlpur, Cox's Bazar, Chittagong, Noahkali districts",,,,Yes,No,No,,18972,Km2,,,,,1987,7,22,1987,7,22,2055,,29700000,,29700000,,,330000,44.44423842
1987-0319-BGD,1987,0319,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,No,No,,,Km2,,,,,1987,8,,1987,8,,225,,,,,,,727500,44.44423842
1988-0235-AFG,1988,0235,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Badakhshan, Baghlan, Herat, Kabul, Jouzjan,,Samangan, Takhar provinces",,,,,No,No,,,Km2,,,,,1988,6,,1988,6,,,,161000,,161000,,,260000,46.25655683
1988-0294-BGD,1988,0294,Natural,Hydrological,Flood,Riverine flood,,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Sunamganj, Netrokona, Satkhira, Bogra, Moulavibazar, Habaganj, Rangpur",,,,,,,,1200,Km2,,,,,1988,7,,1988,7,,61,,,,,,,,46.25655683
1988-0242-BGD,1988,0242,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,Yes,Yes,No,,60000,Km2,,,,,1988,6,,1988,9,,2379,,45000000,,45000000,,,2137000,46.25655683
1978-0129-LKA,1978,0129,Natural,Hydrological,Flood,,,,Affect,Sri Lanka,LKA,Southern Asia,Asia,Jaffna Peninsula,,,,,,,,,Km2,,,,,1978,11,,1978,11,,,,1000,,1000,,,,25.51591532
1979-0060-IND,1979,0060,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"North West, North, North East",,,,,,,,,Km2,,,,,1979,7,,1979,7,,100,,1000000,10000,1010000,,,100000,28.3875989
1979-0093-IND,1979,0093,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Assam,,,,,,,,,Km2,,,,,1979,10,,1979,10,,13,,1000000,,1000000,,,,28.3875989
1979-0100-IND,1979,0100,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Tamil Nadu,,,,,,,,,Km2,,,,,1979,11,,1979,11,,140,,,,,,,,28.3875989
1979-0225-IND,1979,0225,Natural,Hydrological,Flood,,,,Affect,India,IND,Southern Asia,Asia,"Uttar Pradesh, Bihar, West Bengal",,,,,,,,,Km2,,,,,1979,8,25,1979,8,25,,,26000000,,26000000,,,,28.3875989
1979-0290-PAK,1979,0290,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,,,,,,,,,12789,Km2,,,,,1979,,,1979,,,13,,3200,,3200,,,,28.3875989
1980-0057-IND,1980,0057,Natural,Hydrological,Flood,,,,Affect,India,IND,Southern Asia,Asia,Assam,,,,,,,,,Km2,,,,,1980,7,,1980,7,,,,50000,,50000,,,,32.23389323
1980-0062-IND,1980,0062,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Gujarat,,,,,,,,,Km2,,,,,1980,7,,1980,7,,11,,1000,,1000,,,,32.23389323
1980-0074-IND,1980,0074,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"Uttar Pradesh, Bihar, Gujarat, Kerala, Haryana",,,,,,,,,Km2,,,,,1980,8,,1980,8,,1600,23,30000000,,30000023,,,320000,32.23389323
1980-0085-IND,1980,0085,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Orissa,,,,,,,,,Km2,,,,,1980,9,,1980,9,,200,,2000000,,2000000,,,,32.23389323
1980-0324-IND,1980,0324,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1980,7,,1980,7,,600,,,,,,,,32.23389323
1980-0032-IRN,1980,0032,Natural,Hydrological,Flood,,,,Affect,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Khuzestan,,,,,,,,,Km2,,,,,1980,2,,1980,2,,6,,100,,100,,,,32.23389323
1980-0058-IRN,1980,0058,Natural,Hydrological,Flood,,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Khuzestan,,,,,,,,,Km2,,,,,1980,7,,1980,7,,250,,800000,150000,950000,,,,32.23389323
1980-0354-PAK,1980,0354,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,,,,,,,,,1927,Km2,,,,,1980,,,1980,,,75,,86200,,86200,,,,32.23389323
1981-0063-IND,1981,0063,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1981,7,4,1981,7,4,553,,16000000,,16000000,,,250000,35.56517152
1981-0048-IRN,1981,0048,Natural,Hydrological,Flood,,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Korassan,,,,,,,,,Km2,,,,,1981,5,3,1981,5,3,58,,100,,100,,,,35.56517152
1981-0106-LKA,1981,0106,Natural,Hydrological,Flood,,,,Affect,Sri Lanka,LKA,Southern Asia,Asia,North,,,,,,,,,Km2,,,,,1981,12,7,1981,12,7,7,,20000,,20000,,,,35.56517152
1981-0065-NPL,1981,0065,Natural,Hydrological,Flood,Flash flood,,,Kill,Nepal,NPL,Southern Asia,Asia,North,,,,,,,,,Km2,,,,,1981,7,13,1981,7,13,100,,,,,,,,35.56517152
1981-0085-NPL,1981,0085,Natural,Hydrological,Flood,Flash flood,,,Kill,Nepal,NPL,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1981,9,29,1981,9,29,650,,10000,,10000,,,,35.56517152
1981-0245-PAK,1981,0245,Natural,Hydrological,Flood,Flash flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,North regions,,,,,,,,,Km2,,,,,1981,7,24,1981,7,24,82,,,,,,,,35.56517152
1982-0087-IND,1982,0087,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Northeast,,,,Yes,,,,,Km2,,,,,1982,8,,1982,8,,932,,33500000,,33500000,,,700000,37.74582208
1982-0314-IND,1982,0314,Natural,Hydrological,Flood,,,,Declar,India,IND,Southern Asia,Asia,North-East region,,,,,,,,,Km2,,,,,1982,6,,1982,6,,,,,,,,,,37.74582208
1982-0056-LKA,1982,0056,Natural,Hydrological,Flood,,,,Kill,Sri Lanka,LKA,Southern Asia,Asia,South,,,,Yes,,,,,Km2,,,,,1982,5,,1982,5,,20,,100000,,100000,,,1000,37.74582208
1982-0130-LKA,1982,0130,Natural,Hydrological,Flood,,,,Kill,Sri Lanka,LKA,Southern Asia,Asia,Matale (Central regions),,,,,,,,,Km2,,,,,1982,12,12,1982,12,12,34,,30000,,30000,,,,37.74582208
1982-0354-NPL,1982,0354,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1982,7,3,1982,7,3,92,,,,,,,,37.74582208
1982-0089-PAK,1982,0089,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1982,8,,1982,8,,68,,10000,,10000,,,,37.74582208
1983-0089-IND,1983,0089,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"Upper Assama, Central Sikkim",,,,,,,,,Km2,,,,,1983,7,,1983,7,,197,,250000,,250000,,,,38.9583793
1983-0102-IND,1983,0102,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Central - Western,,,,,,,,,Km2,,,,,1983,8,,1983,8,,130,,,,,,,,38.9583793
1983-0153-IND,1983,0153,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Tamil Nadu,,,,,,,,,Km2,,,,,1983,12,,1983,12,,58,,,,,,,,38.9583793
1983-0507-IND,1983,0507,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1983,9,,1983,9,,400,,,,,,,,38.9583793
1983-0151-LKA,1983,0151,Natural,Hydrological,Flood,,,,Affect,Sri Lanka,LKA,Southern Asia,Asia,"North, North Central, Eastern provinces",,,,Yes,,,,,Km2,,,,,1983,12,,1983,12,,3,,1000000,250000,1250000,,,,38.9583793
1983-0114-NPL,1983,0114,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,"Bardia, Kailali, Kanchampur, Dandeldhura, Doti, Accham, Bajura, Bajhang, Darchula districts",,,,,,,,,Km2,,,,,1983,9,,1983,9,,186,50,200000,,200050,,,10000,38.9583793
1983-0440-PAK,1983,0440,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,Punjab province,,,,,,,,,Km2,,,,,1983,8,6,1983,8,6,39,,64300,,64300,,,,38.9583793
1984-0322-IND,1984,0322,Natural,Hydrological,Flood,Flash flood,,,Kill,India,IND,Southern Asia,Asia,Ladakh area,,,,,,,,,Km2,,,,,1984,8,16,1984,8,16,14,,,,,,,,40.63380386
1984-0040-IND,1984,0040,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,North-East states,,,,,,,,,Km2,,,,,1984,5,,1984,5,,245,,16000000,,16000000,,,90000,40.63380386
1984-0318-IND,1984,0318,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"West Bengal, Uttar Pradesh, Assam, Bihar",,,,,,,,,Km2,,,,,1984,6,25,1984,6,25,200,,3000000,,3000000,,,,40.63380386
1984-0323-IND,1984,0323,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"W Bengal, Uttar Pradesh & Orissa",,,,,,,,,Km2,,,,,1984,8,,1984,8,,245,,,,,,,,40.63380386
1984-0325-IND,1984,0325,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,North-East region,,,,,,,,,Km2,,,,,1984,9,,1984,9,,36,,,,,,,,40.63380386
1984-0350-LKA,1984,0350,Natural,Hydrological,Flood,Riverine flood,,,Affect,Sri Lanka,LKA,Southern Asia,Asia,North and Eastern regions,,,,,,,,,Km2,,,,,1984,1,7,1984,1,7,3,,100000,250000,350000,,,,40.63380386
1984-0043-LKA,1984,0043,Natural,Hydrological,Flood,,,,Kill,Sri Lanka,LKA,Southern Asia,Asia,Kalutara district + Southwestern districts,,,,,,,,20234,Km2,,,,,1984,5,24,1984,5,24,45,,85000,70000,155000,,,,40.63380386
1984-0101-LKA,1984,0101,Natural,Hydrological,Flood,,,,OFDA,Sri Lanka,LKA,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1984,11,,1984,11,,,,,,,,,2000,40.63380386
1984-0418-LKA,1984,0418,Natural,Hydrological,Flood,,,,Affect,Sri Lanka,LKA,Southern Asia,Asia,"Ratnapura, Kegalce, Gampaka, Colombo",,,,,,,,,Km2,,,,,1984,7,,1984,7,,3,,,70000,70000,,,,40.63380386
1984-0075-NPL,1984,0075,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,South,,,,,,,,,Km2,,,,,1984,9,,1984,9,,200,,,,,,,,40.63380386
1984-0067-PAK,1984,0067,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,Karachi,,,,,,,,,Km2,,,,,1984,8,,1984,8,,39,,,2000,2000,,,,40.63380386
1985-0317-IND,1985,0317,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Uttar Pradesh, Bihar",,,,,,,,90000,Km2,,,,,1985,9,,1985,9,,557,,152000,,152000,,,308000,42.07452677
1985-0343-IND,1985,0343,Natural,Hydrological,Flood,Riverine flood,,,Declar,India,IND,Southern Asia,Asia,"Kerala, Assam, Bombay, Karnataka, Goa states",,,,,,,,254240,Km2,,,,,1985,6,23,1985,6,23,95,,25000,,25000,,,,42.07452677
1985-0067-IND,1985,0067,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Punjab (Western),,,,,,,,117440,Km2,,,,,1985,6,,1985,6,,133,,,25000,25000,,,,42.07452677
1985-0068-IND,1985,0068,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"Uttar Pradesh, West Bengal, Punjab (North, North-West, East India)",,,,,,,,404,Km2,,,,,1985,6,,1985,6,,741,,10200000,25000,10225000,,,500000,42.07452677
1985-0131-IND,1985,0131,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Tamil Nadu,,,,Yes,,,,,Km2,,,,,1985,11,12,1985,11,12,130,,500000,400000,900000,,,,42.07452677
1985-0092-NPL,1985,0092,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,"Dolakha, Accham, Dhading, Solokhumbo, Bajhang districts",,,,,,,,,Km2,,,,,1985,8,,1985,8,,46,57,60500,2000,62557,,,,42.07452677
1986-0085-IND,1986,0085,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,Andhra Pradesh,,,,Yes,,,,2400,Km2,,,,,1986,8,,1986,8,,187,,245000,,245000,,,100000,42.87312983
1986-0239-IND,1986,0239,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,,,,,,No,No,,,Km2,,,,,1986,10,10,1986,10,10,50,,,,,,,276100,42.87312983
1986-0385-IND,1986,0385,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1986,,,1986,,,14,,,150000,150000,,,,42.87312983
1986-0129-IRN,1986,0129,Natural,Hydrological,Flood,Riverine flood,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Fars, Busher, Shiraz, Khuzestan, Buir Ahmad provinces",Heavy rains,,,,No,No,,155900,Km2,,,,,1986,11,30,1986,12,11,200,,40000,,40000,,400,1561000,42.87312983
1986-0225-IRN,1986,0225,Natural,Hydrological,Flood,,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1986,4,28,1986,4,28,65,,,,,,,30000,42.87312983
1986-0178-LKA,1986,0178,Natural,Hydrological,Flood,,,,Kill,Sri Lanka,LKA,Southern Asia,Asia,"Badulla, Nuwara-Eliya districts (Eastern and central provinces)",,,,Yes,,,,,Km2,,,,,1986,1,,1986,1,,43,,64485,,64485,,,934,42.87312983
1986-0212-NPL,1986,0212,Natural,Hydrological,Flood,,,,Govern,Nepal,NPL,Southern Asia,Asia,"Siraha, Saptari, Paras I, Rupandehi, Banke districts",,,,,,,,,Km2,,,,,1986,7,,1986,7,,,,,,,,,,42.87312983
1986-0224-NPL,1986,0224,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,"Helpa, Marauco, Palpa, Morang, Sunsari",,,,,,,,,Km2,,,,,1986,4,6,1986,4,6,22,,,,,,,,42.87312983
1987-0320-NPL,1987,0320,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,"Sinhulpalhowk, Nuwakot, Dolakha, Gorkha districts, eastern Terai, Jhapa, Morang, Sunsaro, Saptari, Udayapur",,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,"Sunkoshi Basin, Sapta Koshi Basin",1987,8,,1987,8,,188,,351000,,351000,,,95490,44.44423842
1987-0137-IND,1987,0137,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Assam, Bihar, West Bengal",,,,,,,,40000,Km2,,,,,1987,8,,1987,8,,1200,,18000000,,18000000,,,545000,44.44423842
1987-0386-IND,1987,0386,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Cachemire,,,,,,,,,Km2,,,,,1987,5,,1987,5,,25,,,,,,,,44.44423842
1987-0394-IND,1987,0394,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Andhra Pradesh,,,,,,,,,Km2,,,,,1987,7,9,1987,7,9,30,,,,,,,,44.44423842
1987-0410-IND,1987,0410,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Uttar Pradesh,,,,,,,,3000,Km2,,,,,1987,9,18,1987,9,18,59,,300000,,300000,,,,44.44423842
1987-0133-IRN,1987,0133,Natural,Hydrological,Flood,Riverine flood,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Teheran, East, Southwest of Iran",,,,,,,,,Km2,,,,,1987,7,24,1987,7,24,147,,,,,,,,44.44423842
1987-0311-IRN,1987,0311,Natural,Hydrological,Flood,,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1987,9,,1987,9,,544,,,,,,,,44.44423842
1987-0383-IRN,1987,0383,Natural,Hydrological,Flood,,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1987,3,7,1987,3,7,30,,,,,,,,44.44423842
1987-0387-IRN,1987,0387,Natural,Hydrological,Flood,,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1987,6,,1987,6,,53,,,,,,,,44.44423842
1987-0402-IRN,1987,0402,Natural,Hydrological,Flood,,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1987,8,7,1987,8,7,50,,,,,,,,44.44423842
