Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2010-0492-IND,2010,0492,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Almora, Naini Tal districts (Uttarakhand province), Bihar, Uttar Pradesh provinces",Monsoonal rains,"Slide (land, mud, snow, rock)",,,,,,38537,Km2,26.73,82.84,,,2010,9,18,2010,9,30,200,,3267183,,3267183,,,1680000,85.2920606
2010-0333-NPL,2010,0333,Natural,Hydrological,Flood,Riverine flood,,,Kill,Nepal,NPL,Southern Asia,Asia,"Sunsari area (Koshi district, Eastern province), Rupandehi area (Lumbini district, Western province), Jhapa, Ilam areas (Mechi district, Eastern province), Rautahat area (Narayani district, Central province), Siraha area (Sagarmatha district, Eastern province), Parbat area (Dhawalagiri district, Western province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,132600,Km2,28.35,84.78,,,2010,7,25,2010,7,25,12,,,,,,,,85.2920606
2010-0053-PAK,2010,0053,Natural,Hydrological,Flood,Riverine flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Batagram, Kohistan, Shangla, Swat districts (North-West Frontier province)",Heavy rain and snow,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2010,2,8,2010,2,9,22,,,,,,,,85.2920606
2010-0276-IND,2010,0276,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Ambala, Kurukshetra districts (Haryana province), Punjab, Kerala provinces",Monsoonal rains,,,,,,,147437,Km2,30.18,74.77,,,2010,7,5,2010,7,15,53,,,400000,400000,,,447000,85.2920606
2010-0283-IND,2010,0283,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,Andhra Pradesh province,,,,,,,,63170,Km2,15.22,79.48,,,2010,5,18,2010,5,24,27,,50000,,50000,,,,85.2920606
2010-0321-IND,2010,0321,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,Delhi province,Heavy rains,,,,,,,,Km2,,,,,2010,7,13,2010,7,13,11,,,,,,,,85.2920606
2010-0416-IND,2010,0416,Natural,Hydrological,Flood,Riverine flood,,,Affected,India,IND,Southern Asia,Asia,Lakhimpur district (Assam province),Monsoonal rain,,,,,,,12555,Km2,26.235,92.25,,Singora,2010,9,5,2010,9,17,,,30000,,30000,,,,85.2920606
2010-0493-IND,2010,0493,Natural,Hydrological,Flood,Riverine flood,,,Affected,India,IND,Southern Asia,Asia,"Punjab, Haryana, Uttar Pradesh provinces",Monsoonal rains,,,,,,,10843,Km2,25.965,76.05,,Ganges,2010,9,9,2010,9,9,,,12500,,12500,,,,85.2920606
2010-0629-IND,2010,0629,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Chennai, Cuddalore, Nagapattinam, Pudukottai, Ramanthapuram, Thanjavur, Thiruvallur, Villupuram, Thoothukudi, Tirunelveli Kattabo districts (Tamil Nadu province)",Monsoonal rain,,,,,,,57474,Km2,9.88,78.47,,,2010,11,15,2010,12,7,203,,,,,,,22000,85.2920606
2010-0583-LKA,2010,0583,Natural,Hydrological,Flood,Flash flood,,,Affected,Sri Lanka,LKA,Southern Asia,Asia,"Matara district (Southern province), Kegalle district (Sabaragamuwa province), Western province",Monsoon rain,,,,,,,11880,Km2,7.275,80.3,,,2010,11,10,2010,12,11,7,10,164183,,164193,,,,85.2920606
2010-0191-LKA,2010,0191,Natural,Hydrological,Flood,Riverine flood,,,Affected,Sri Lanka,LKA,Southern Asia,Asia,"Galle, Matara districts (Southern province), Ratnapura district (Sabaragamuwa province), Anuradhapura district (North Central province), Nuwara Eliya district (Central province), Mannar, Jaffna districts (Northern province), Trincomalee district (Eastern province), Western, North Western provinces",Monsoonal rain,,,Yes,,,,19210,Km2,6.83,80.59,,,2010,5,14,2010,5,20,28,,606072,,606072,,,105000,85.2920606
2010-0293-PAK,2010,0293,Natural,Hydrological,Flood,Flash flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,Barkhan district (Balochistan province),Monsoonal rain,,,,,,,14180,Km2,30.51,66.95,,,2010,7,21,2010,7,23,60,,4000,,4000,,,,85.2920606
2010-0341-PAK,2010,0341,Natural,Hydrological,Flood,Flash flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Barkhan, Bolan, Kohlu, Nasirabad, Sibi districts (Balochistan province), Mohmand Agency, Khyber Agency (Federally Administered Tribal Areas), Bannu, Batagram, Charsadda, D. I. Khan, Kohat, Kohistan, Lakki Marwat, Lower Dir, Mansehra, Nowshera, Peshawar, Shangla, Swat, Tank districts (North-West Frontier province), Khushab, Layyah, Mianwali, Muzaffargarh, Rajanpur districts (Punjab province), Bagh, Gilgit-Baltistan, Mirpur, Muzaffarabad districts (Jammu and Kashmir province), Sindh province",Monsoonal rain,,,Yes,Yes,,,160000,Km2,,,,,2010,7,28,2010,8,7,1985,2946,20356550,,20359496,,100000,9500000,85.2920606
2010-0282-PAK,2010,0282,Natural,Hydrological,Flood,Riverine flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Uchosht village (Chitral district, North-West Frontier province)",Torrential rain,,,,,,,9326,Km2,36.03,72.08,,,2010,6,22,2010,6,24,46,,,,,,,,85.2920606
2011-0024-LKA,2011,0024,Natural,Hydrological,Flood,Riverine flood,,,Kill,Sri Lanka,LKA,Southern Asia,Asia,"Vavuniya district (Northern province), Central, Eastern, North Central, Sabaragamuwa, Uva provinces",Monsoon rain,"Slide (land, mud, snow, rock)",,Yes,Yes,,,22133,Km2,7.60326,81.25,,,2011,1,5,2011,1,18,47,51,,1060273,1060324,,,200000,87.98460292
2011-0317-NPL,2011,0317,Natural,Hydrological,Flood,Riverine flood,,,Kill,Nepal,NPL,Southern Asia,Asia,"Mid Western, Far Western, Central, Eastern provinces",Monsoonal rain,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2011,6,,2011,7,,89,32,1826,,1858,,,,87.98460292
2011-0327-IND,2011,0327,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,West Bengal province,Mosnoonal rains,,,,,,,28684,Km2,22.306,88.34,,,2011,8,10,2011,9,13,47,,700000,,700000,,,275000,87.98460292
